"log.s1","log.s3"
"1",-0.0278251443335745,-0.0426549144903324
"2",-0.0198770372058599,-0.0312566801334648
"3",-0.0678195099308341,-0.0919795330849784
"4",-0.11968143922382,-0.159398632904117
"5",-0.0284170030777663,-0.0376378116874448
"6",-0.0681391170856219,-0.0855140857779833
"7",-0.0970083339355039,-0.112522872685417
"8",-0.120287986833194,-0.171295353569642
"9",-0.0334911432825652,-0.0482114571076488
"10",-0.0388735397814534,-0.0454549669219523
"11",-0.0811608754567085,-0.148639065535728
"12",-0.0421690067368353,-0.0516503091136578
"13",-0.0495188741320933,-0.0861105698990157
"14",-0.0464250009445224,-0.0659863992209919
"15",-0.0476617861767295,-0.0705534906059667
"16",-0.0335944993377747,-0.067546531581279
"17",-0.070734597091612,-0.109066741937102
"18",-0.0542041005879168,-0.0791942695176227
"19",-0.0292041611169544,-0.0478257749627979
"20",-0.0367415432272283,-0.0481820489882538
"21",-0.0643562296548669,-0.0850276893628823
"22",-0.0672150014748857,-0.0848555978754205
"23",-0.0349712878721067,-0.0531584632875679
"24",-0.00666198513807537,-0.0174420184096115
"25",-0.0265981203398317,-0.0415349015587491
"26",-0.0565273307119647,-0.0811639430998655
"27",-0.174119001060673,-0.227754194389502
"28",-0.0373770372041008,-0.0423479990183483
"29",-0.0396713379832428,-0.0548903143469038
"30",-0.0612299196062834,-0.0705017770655888
"31",-0.0597564912610554,-0.0698435375864073
"32",-0.036455097572542,-0.0673542287229638
"33",-0.0331458214725192,-0.0354094109869635
"34",-0.019686989923161,-0.028408675359401
"35",-0.0606308857428352,-0.0606308866587759
"36",-0.0350149615583588,-0.0389402247370474
"37",-0.0404671737050682,-0.0404671746057544
"38",-0.0955941633490738,-0.147742673826606
"39",-0.0393857151245314,-0.0476821577684884
"40",-0.0472191508627797,-0.0980916043915385
"41",-0.0575476259964384,-0.0810301985746914
"42",-0.0797503879129265,-0.108766411857846
"43",-0.0374152546505176,-0.0561950829845362
"44",-0.0219509618667434,-0.0281412429460535
"45",-0.0706266435780356,-0.116305628133719
"46",-0.0528410817306455,-0.0678163720096641
"47",-0.0165171305231185,-0.0185813861387967
